index            position            speed
0            10            0
1            9.99992            -0.4
2            9.99184            -0.8
3            9.97576            -1.2
4            9.95168            -1.6
5            9.9196            -2
6            9.87952            -2.4
7            9.83144            -2.8
8            9.77536            -3.2
9            9.71128            -3.6
10            9.6392            -4
11            9.55912            -4.4
12            9.47104            -4.8
13            9.37496            -5.2
14            9.27088            -5.6
15            9.1588            -6
16            9.03872            -6.4
17            8.91064            -6.8
18            8.77456            -7.2
19            8.63048            -7.6
20            8.4784            -8
21            8.31832            -8.4
22            8.15024            -8.8
23            7.97416            -9.2
24            7.79008            -9.6
25            7.598            -10
26            7.39792            -10.4
27            7.18984            -10.8
28            6.97376            -11.2
29            6.74968            -11.6
30            6.5176            -12
31            6.27752            -12.4
32            6.02944            -12.8
33            5.77336            -13.2
34            5.50928            -13.6
35            5.2372            -14
36            4.95712            -14.4
37            4.66904            -14.8
38            4.37296            -15.2
39            4.06888            -15.6
40            3.7568            -16
41            3.43672            -16.4
42            3.10864            -16.8
43            2.77256            -17.2
44            2.4286            -17
45            2.08864            -16.8
46            1.75268            -16.6
47            1.42072            -16.4
48            1.09276            -16.2
49            0.7688            -16
50            0.44884            -15.8
51            0.13288            -15.6
52            -0.17908            -15.4
53            -0.48704            -15.2
54            -0.791            -15
55            -1.09096            -14.8
56            -1.38692            -14.6
57            -1.67888            -14.4
58            -1.96684            -14.2
59            -2.2508            -14
60            -2.53076            -13.8
61            -2.80672            -13.6
62            -3.07868            -13.4
63            -3.34664            -13.2
64            -3.6106            -13
65            -3.87056            -12.8
66            -4.12652            -12.6
67            -4.37848            -12.4
68            -4.62644            -12.2
69            -4.8704            -12
70            -5.11036            -11.8
71            -5.34632            -11.6
72            -5.57828            -11.4
73            -5.80624            -11.2
74            -6.0302            -11
75            -6.25016            -10.8
76            -6.46612            -10.6
77            -6.67808            -10.4
78            -6.88604            -10.2
79            -7.09            -10
80            -7.28996            -9.8
81            -7.48592            -9.6
82            -7.67788            -9.4
83            -7.86584            -9.2
84            -8.0498            -9
85            -8.22976            -8.8
86            -8.40572            -8.6
87            -8.57768            -8.4
88            -8.74564            -8.2
89            -8.9096            -8
90            -9.06956            -7.8
91            -9.22552            -7.6
92            -9.37748            -7.4
93            -9.52544            -7.2
94            -9.6694            -7
95            -9.80936            -6.8
96            -9.94532            -6.6
97            -10.0773            -6.4
98            -10.2052            -6.2
99            -10.3292            -6
100            -10.4492            -5.8
101            -10.5651            -5.6
102            -10.6771            -5.4
103            -10.785            -5.2
104            -10.889            -5
105            -10.989            -4.8
106            -11.0849            -4.6
107            -11.1769            -4.4
108            -11.2648            -4.2
109            -11.3488            -4
110            -11.4288            -3.8
111            -11.5047            -3.6
112            -11.5767            -3.4
113            -11.6446            -3.2
114            -11.7086            -3
115            -11.7686            -2.8
116            -11.8245            -2.6
117            -11.8765            -2.4
118            -11.9244            -2.2
119            -11.9684            -2
120            -12.0084            -1.8
121            -12.0443            -1.6
122            -12.0763            -1.4
123            -12.1042            -1.2
124            -12.1282            -1
125            -12.1482            -0.8
126            -12.1641            -0.6
127            -12.1761            -0.4
128            -12.184            -0.2
129            -12.188            -3.04756e-014
130            -12.188            0
